Date,Value
2-Jan-17,0.396796
3-Jan-17,0.395986
4-Jan-17,0.394735
5-Jan-17,0.396313
6-Jan-17,0.398227
9-Jan-17,0.397844
10-Jan-17,0.396681
11-Jan-17,0.396322
12-Jan-17,0.393018
13-Jan-17,0.393098
16-Jan-17,0.395003
17-Jan-17,0.396924
18-Jan-17,0.396418
19-Jan-17,0.396635
20-Jan-17,0.396262
23-Jan-17,0.396492
24-Jan-17,0.399524
25-Jan-17,0.4
26-Jan-17,0.398236
27-Jan-17,0.397993
30-Jan-17,0.397459
31-Jan-17,0.399352
1-Feb-17,0.401451
2-Feb-17,0.401964
3-Feb-17,0.402967
6-Feb-17,0.402379
7-Feb-17,0.403696
8-Feb-17,0.402475
9-Feb-17,0.401912
10-Feb-17,0.402767
13-Feb-17,0.402979
14-Feb-17,0.402843
15-Feb-17,0.403438
16-Feb-17,0.403811
17-Feb-17,0.403025
20-Feb-17,0.403521
21-Feb-17,0.404591
22-Feb-17,0.405081
23-Feb-17,0.405656
24-Feb-17,0.406719
27-Feb-17,0.406336
28-Feb-17,0.406139
1-Mar-17,0.405489
2-Mar-17,0.405476
3-Mar-17,0.404719
6-Mar-17,0.40253
7-Mar-17,0.401611
8-Mar-17,0.40136
9-Mar-17,0.401512
10-Mar-17,0.399669
13-Mar-17,0.400507
14-Mar-17,0.401258
15-Mar-17,0.400433
16-Mar-17,0.400911
17-Mar-17,0.40303
20-Mar-17,0.40413
21-Mar-17,0.404783
22-Mar-17,0.405495
23-Mar-17,0.406048
24-Mar-17,0.407195
27-Mar-17,0.407157
28-Mar-17,0.408323
29-Mar-17,0.406649
30-Mar-17,0.404538
31-Mar-17,0.405861
3-Apr-17,0.406567
4-Apr-17,0.406627
5-Apr-17,0.407057
6-Apr-17,0.406374
7-Apr-17,0.405441
10-Apr-17,0.405685
11-Apr-17,0.406622
12-Apr-17,0.407554
13-Apr-17,0.407762
14-Apr-17,0.408765
17-Apr-17,0.407624
18-Apr-17,0.409886
19-Apr-17,0.409001
20-Apr-17,0.409121
21-Apr-17,0.410465
24-Apr-17,0.412363
25-Apr-17,0.414059
26-Apr-17,0.414183
27-Apr-17,0.413241
28-Apr-17,0.416681
2-May-17,0.416435
3-May-17,0.416101
4-May-17,0.416504
5-May-17,0.416917
8-May-17,0.415824
9-May-17,0.416572
10-May-17,0.415126
11-May-17,0.414811
12-May-17,0.414931
15-May-17,0.414733
16-May-17,0.415385
17-May-17,0.415863
18-May-17,0.41474
22-May-17,0.413371
23-May-17,0.414807
24-May-17,0.4154
25-May-17,0.416046
26-May-17,0.41746
29-May-17,0.417578
30-May-17,0.417389
31-May-17,0.417735
1-Jun-17,0.41933
2-Jun-17,0.419778
5-Jun-17,0.420877
6-Jun-17,0.42215
7-Jun-17,0.421326
8-Jun-17,0.421724
9-Jun-17,0.419482
