Date,Value
1/6/2017,19.62405
1/9/2017,19.68215
1/10/2017,19.70443
1/2/2017,19.79758
1/11/2017,19.70664
1/3/2017,19.76026
3/20/2017,20.99173
3/7/2017,20.90971
2/13/2017,20.72108
1/20/2017,20.24999
2/6/2017,20.7397
1/12/2017,19.67505
2/23/2017,20.8162
3/8/2017,20.91538
3/21/2017,21.01264
2/14/2017,20.78132
1/4/2017,19.60593
2/7/2017,20.7237
1/23/2017,20.3209
1/13/2017,19.99915
2/24/2017,20.87709
2/8/2017,20.69604
3/9/2017,20.85628
2/15/2017,20.78384
1/24/2017,20.36673
3/22/2017,21.00341
1/16/2017,20.14653
1/5/2017,19.56805
2/27/2017,20.83692
4/3/2017,21.04579
2/9/2017,20.73445
3/10/2017,20.78408
3/23/2017,20.99577
2/28/2017,20.82324
1/25/2017,20.4394
1/17/2017,20.20066
2/16/2017,20.77189
4/4/2017,21.04277
2/10/2017,20.78157
1/18/2017,20.30186
3/24/2017,21.02671
3/13/2017,20.84529
1/26/2017,20.34882
3/1/2017,20.78753
2/17/2017,20.76293
1/19/2017,20.33857
3/27/2017,21.06762
4/5/2017,21.07998
3/2/2017,20.88026
4/17/2017,21.2181
3/14/2017,20.84513
1/27/2017,20.38742
2/20/2017,20.80806
5/2/2017,21.64948
3/3/2017,20.90236
4/18/2017,21.30222
1/30/2017,20.37543
3/15/2017,20.80466
4/6/2017,21.12579
3/28/2017,21.08041
2/21/2017,20.7979
5/3/2017,21.64597
4/19/2017,21.3309
1/31/2017,20.56215
3/6/2017,20.85827
3/29/2017,21.06958
3/16/2017,20.85459
5/4/2017,21.6352
4/7/2017,21.10766
2/22/2017,20.82808
5/15/2017,21.70155
4/20/2017,21.30577
5/29/2017,21.91133
3/17/2017,20.94376
2/1/2017,20.59541
3/30/2017,20.99748
5/5/2017,21.62189
4/10/2017,21.10043
5/16/2017,21.74245
3/31/2017,21.03539
5/30/2017,21.9302
4/21/2017,21.38734
2/2/2017,20.65232
6/9/2017,22.01077
5/8/2017,21.64899
4/11/2017,21.26726
5/17/2017,21.77363
6/28/2017,22.18197
5/31/2017,21.92952
2/3/2017,20.69213
4/24/2017,21.44271
5/9/2017,21.66643
6/12/2017,22.06594
5/18/2017,21.74372
9/6/2017,22.60003
4/12/2017,21.27138
6/29/2017,22.21182
6/1/2017,21.96999
5/10/2017,21.71217
4/25/2017,21.55544
6/13/2017,22.08728
5/22/2017,21.69269
9/7/2017,22.67647
6/2/2017,21.96723
4/13/2017,21.27253
6/30/2017,22.18467
5/11/2017,21.76712
6/14/2017,22.08314
4/26/2017,21.59411
9/8/2017,22.68882
6/5/2017,22.05485
5/23/2017,21.79285
4/14/2017,21.219
5/12/2017,21.71425
7/3/2017,22.23582
4/27/2017,21.5908
6/15/2017,22.07197
5/24/2017,21.87007
6/6/2017,22.04693
9/11/2017,22.64669
10/13/2017,22.98027
7/4/2017,22.25787
4/28/2017,21.63806
6/16/2017,22.0487
5/25/2017,21.90635
6/7/2017,22.03818
10/16/2017,22.9722
7/5/2017,22.27714
9/12/2017,22.67955
6/19/2017,22.03044
5/26/2017,21.92239
6/8/2017,22.01963
9/13/2017,22.66666
10/17/2017,23.01266
7/6/2017,22.23616
6/20/2017,22.11666
9/14/2017,22.66406
10/18/2017,23.04832
6/21/2017,22.11853
7/7/2017,22.21021
9/15/2017,22.65735
10/19/2017,23.07625
6/22/2017,22.12071
7/10/2017,22.17886
9/18/2017,22.69198
10/20/2017,23.16136
6/23/2017,22.17391
9/19/2017,22.61415
7/11/2017,22.25064
10/23/2017,23.14725
9/20/2017,22.5921
7/12/2017,22.32724
10/24/2017,23.12904
9/21/2017,22.63904
7/13/2017,22.35955
10/25/2017,23.18151
10/26/2017,23.23148
9/22/2017,22.57892
7/14/2017,22.38876
10/27/2017,23.21332
9/25/2017,22.61485
7/17/2017,22.44912
10/30/2017,23.2392
9/26/2017,22.51642
7/18/2017,22.50411
10/31/2017,23.30383
9/27/2017,22.60867
7/19/2017,22.48279
9/28/2017,22.51941
11/1/2017,23.32658
7/20/2017,22.57603
11/2/2017,23.41826
9/29/2017,22.59759
7/21/2017,22.55055
11/3/2017,23.43359
10/2/2017,22.63911
7/24/2017,22.58535
11/6/2017,23.437
10/3/2017,22.67075
11/7/2017,23.48503
10/4/2017,22.71235
7/25/2017,22.59216
11/8/2017,23.47915
7/26/2017,22.61597
10/5/2017,22.75059
11/9/2017,23.48188
7/27/2017,22.63027
10/6/2017,22.72228
11/10/2017,23.44844
7/28/2017,22.68516
10/9/2017,22.75482
11/13/2017,23.4009
10/10/2017,22.73976
7/31/2017,22.65795
11/14/2017,23.42333
10/11/2017,22.88677
11/15/2017,23.49674
8/1/2017,22.65346
10/12/2017,22.89754
11/16/2017,23.42415
8/2/2017,22.56985
11/17/2017,23.40076
8/3/2017,22.59847
11/20/2017,23.38518
8/4/2017,22.64565
11/21/2017,23.37166
8/7/2017,22.66752
11/22/2017,23.45338
8/8/2017,22.73248
11/23/2017,23.53441
8/9/2017,22.71497
11/24/2017,23.53098
8/10/2017,22.67244
11/27/2017,23.50199
8/11/2017,22.61218
11/28/2017,23.54205
8/14/2017,22.59583
11/29/2017,23.49337
8/15/2017,22.70568
11/30/2017,23.5115
8/16/2017,22.59212
12/1/2017,23.5844
8/17/2017,22.57653
12/4/2017,23.56564
8/18/2017,22.57441
12/5/2017,23.60855
8/21/2017,22.61297
12/6/2017,23.60046
8/22/2017,22.65716
12/7/2017,23.51761
8/23/2017,22.64437
12/8/2017,23.57873
8/24/2017,22.65404
12/11/2017,23.60149
8/25/2017,22.65659
12/12/2017,23.62569
8/28/2017,22.65997
12/13/2017,23.62041
8/29/2017,22.69253
12/14/2017,23.61259
8/31/2017,22.66914
12/15/2017,23.70052
9/5/2017,22.65615
12/18/2017,23.69958
12/19/2017,23.75258
12/20/2017,23.77341
12/21/2017,23.77613
12/22/2017,23.80329
12/25/2017,23.79704
12/26/2017,23.8062
12/27/2017,23.81662
12/28/2017,23.85129
12/29/2017,23.92858
1/2/2018,23.9806
1/3/2018,23.99732
1/4/2018,23.97938
1/19/2018,24.30485
2/7/2018,24.36533
2/27/2018,24.51001
4/4/2018,24.89158
3/19/2018,24.77429
5/14/2018,25.00475
4/24/2018,25.00308
1/5/2018,24.03246
1/22/2018,24.28206
5/15/2018,25.04759
4/5/2018,24.91179
2/28/2018,24.50691
1/8/2018,24.09609
2/8/2018,24.38558
1/23/2018,24.29886
4/25/2018,25.00085
5/16/2018,25.09848
3/20/2018,24.74814
4/6/2018,24.97188
3/1/2018,24.53732
1/24/2018,24.37978
2/9/2018,24.35362
1/9/2018,24.11416
4/26/2018,24.95757
4/9/2018,25.02123
5/17/2018,25.12282
3/2/2018,24.55998
1/25/2018,24.40932
2/12/2018,24.37519
1/10/2018,24.09441
3/21/2018,24.79692
5/18/2018,25.17483
4/10/2018,25.02174
4/27/2018,24.91413
2/13/2018,24.38386
1/26/2018,24.36019
3/5/2018,24.5774
3/22/2018,24.82604
1/11/2018,24.07902
4/11/2018,24.99761
5/21/2018,25.20883
1/12/2018,24.16101
4/30/2018,24.9249
2/14/2018,24.3583
1/29/2018,24.40892
3/6/2018,24.58832
3/23/2018,24.80828
4/12/2018,24.97762
5/22/2018,25.26511
1/15/2018,24.20042
2/15/2018,24.31369
3/7/2018,24.57986
1/30/2018,24.4375
5/2/2018,24.81771
3/26/2018,24.79923
1/16/2018,24.13095
5/23/2018,25.36899
4/13/2018,25.03449
2/16/2018,24.3796
1/31/2018,24.48449
3/8/2018,24.61442
5/3/2018,24.84268
3/27/2018,24.87049
4/16/2018,25.02449
5/24/2018,25.42562
1/17/2018,24.19526
2/19/2018,24.35172
2/1/2018,24.48228
3/9/2018,24.60936
5/4/2018,24.88955
4/17/2018,25.03675
5/25/2018,25.60774
2/20/2018,24.33536
1/18/2018,24.31771
3/28/2018,24.878
2/2/2018,24.4459
3/12/2018,24.61132
5/28/2018,25.55981
4/18/2018,24.97497
6/1/2018,25.27608
2/21/2018,24.30921
5/7/2018,24.9634
2/5/2018,24.44657
3/29/2018,24.82456
5/29/2018,25.6601
4/19/2018,25.06088
6/4/2018,25.27973
3/13/2018,24.69281
2/6/2018,24.39981
2/22/2018,24.39025
5/8/2018,24.98167
6/5/2018,25.37428
3/14/2018,24.70363
5/30/2018,25.48934
4/20/2018,25.07998
3/30/2018,24.88299
2/23/2018,24.42738
6/22/2018,25.39489
5/31/2018,25.44438
5/9/2018,24.91451
6/6/2018,25.38856
7/12/2018,25.48058
3/15/2018,24.73495
2/26/2018,24.48712
4/2/2018,24.92159
6/25/2018,25.41192
7/30/2018,25.80967
3/16/2018,24.7359
6/7/2018,25.32643
7/13/2018,25.42815
4/3/2018,24.8861
5/10/2018,24.94232
8/16/2018,26.63362
6/26/2018,25.43408
7/31/2018,25.90549
6/8/2018,25.36662
7/16/2018,25.53213
5/11/2018,24.99605
8/17/2018,26.15508
6/27/2018,25.33541
9/13/2018,27.12448
10/2/2018,27.77374
8/1/2018,25.95639
7/17/2018,25.54004
6/11/2018,25.25415
10/10/2018,27.75221
8/20/2018,26.03244
6/28/2018,25.4041
9/14/2018,27.18332
8/2/2018,25.94206
10/3/2018,27.7323
6/12/2018,25.26725
8/27/2018,26.41599
7/18/2018,25.52357
6/29/2018,25.38127
