Date,Value
1/6/2017,0.015214
1/9/2017,0.015345
1/10/2017,0.015424
1/2/2017,0.015535
1/11/2017,0.015448
1/3/2017,0.015492
2/22/2017,0.017518
3/20/2017,0.01805
3/7/2017,0.017961
2/13/2017,0.017299
1/20/2017,0.016337
2/6/2017,0.017436
1/12/2017,0.015508
2/23/2017,0.017416
3/8/2017,0.017951
3/21/2017,0.018098
2/14/2017,0.017526
1/4/2017,0.015289
2/7/2017,0.017294
1/23/2017,0.016539
1/13/2017,0.016041
2/24/2017,0.017541
2/8/2017,0.017286
3/9/2017,0.01774
2/15/2017,0.017462
1/24/2017,0.016513
3/22/2017,0.018018
1/16/2017,0.016194
1/5/2017,0.015181
2/27/2017,0.017417
4/3/2017,0.017962
2/9/2017,0.017472
3/10/2017,0.017661
3/23/2017,0.017924
2/28/2017,0.017345
1/25/2017,0.016676
1/17/2017,0.016232
2/16/2017,0.017409
4/4/2017,0.01796
2/10/2017,0.01755
1/18/2017,0.016423
3/24/2017,0.017953
3/13/2017,0.017786
1/26/2017,0.016473
3/1/2017,0.017273
2/17/2017,0.017444
1/19/2017,0.016504
3/27/2017,0.018084
4/5/2017,0.018074
3/2/2017,0.017623
4/17/2017,0.01844
3/14/2017,0.017762
1/27/2017,0.016619
2/20/2017,0.017545
5/2/2017,0.019404
3/3/2017,0.017752
1/30/2017,0.016615
3/15/2017,0.017685
4/6/2017,0.018302
3/28/2017,0.018042
4/18/2017,0.018601
2/21/2017,0.017432
5/3/2017,0.019386
4/19/2017,0.018785
1/31/2017,0.01705
3/6/2017,0.017737
3/29/2017,0.018119
3/16/2017,0.017789
5/4/2017,0.0193
4/7/2017,0.018271
5/15/2017,0.019531
4/20/2017,0.018657
5/29/2017,0.020138
3/17/2017,0.017982
2/1/2017,0.017041
3/30/2017,0.01798
5/5/2017,0.01918
4/10/2017,0.018216
5/16/2017,0.019641
3/31/2017,0.018002
5/30/2017,0.020204
4/21/2017,0.018865
2/2/2017,0.017185
6/9/2017,0.020337
5/8/2017,0.019315
4/11/2017,0.018724
5/17/2017,0.019764
6/28/2017,0.020683
5/31/2017,0.020178
2/3/2017,0.017264
4/24/2017,0.018924
5/9/2017,0.019334
6/12/2017,0.020492
5/18/2017,0.019717
9/6/2017,0.022272
4/12/2017,0.018662
6/29/2017,0.020891
6/1/2017,0.020261
5/10/2017,0.019584
4/25/2017,0.019225
6/13/2017,0.020553
5/22/2017,0.019566
9/7/2017,0.022444
6/2/2017,0.020191
4/13/2017,0.018661
6/30/2017,0.020784
5/11/2017,0.019793
6/14/2017,0.020518
4/26/2017,0.019353
6/5/2017,0.020458
5/23/2017,0.019887
4/14/2017,0.018391
9/8/2017,0.022525
5/12/2017,0.019584
7/3/2017,0.020884
4/27/2017,0.01938
6/15/2017,0.020557
5/24/2017,0.020133
6/6/2017,0.020313
9/11/2017,0.022351
10/13/2017,0.021687
7/4/2017,0.02092
4/28/2017,0.019368
6/16/2017,0.020404
5/25/2017,0.020254
6/7/2017,0.020342
10/16/2017,0.021756
7/5/2017,0.021067
9/12/2017,0.022616
6/19/2017,0.020309
5/26/2017,0.020188
6/8/2017,0.020229
9/13/2017,0.02255
10/17/2017,0.021912
7/6/2017,0.020955
6/20/2017,0.020532
9/14/2017,0.022314
10/18/2017,0.022061
6/21/2017,0.020551
7/7/2017,0.020939
9/15/2017,0.022239
10/19/2017,0.022066
6/22/2017,0.020591
7/10/2017,0.020831
9/18/2017,0.022211
10/20/2017,0.022317
6/23/2017,0.020741
9/19/2017,0.021845
7/11/2017,0.021056
10/23/2017,0.022272
9/20/2017,0.021522
7/12/2017,0.021383
10/24/2017,0.022114
9/21/2017,0.021601
7/13/2017,0.021462
10/25/2017,0.022103
9/22/2017,0.021328
10/26/2017,0.022295
7/14/2017,0.02154
10/27/2017,0.022071
9/25/2017,0.02131
7/17/2017,0.021696
10/30/2017,0.022164
9/26/2017,0.020822
7/18/2017,0.021887
10/31/2017,0.02231
9/27/2017,0.021217
7/19/2017,0.021786
9/28/2017,0.020675
11/1/2017,0.022553
7/20/2017,0.022075
11/2/2017,0.023088
9/29/2017,0.02098
7/21/2017,0.021956
11/3/2017,0.023011
10/2/2017,0.021082
11/6/2017,0.022744
7/24/2017,0.022075
10/3/2017,0.02119
10/4/2017,0.021331
11/7/2017,0.02325
7/25/2017,0.02209
11/8/2017,0.022915
7/26/2017,0.022202
10/5/2017,0.021498
11/9/2017,0.022882
7/27/2017,0.022237
10/6/2017,0.021428
11/10/2017,0.022627
7/28/2017,0.022515
10/9/2017,0.021367
11/13/2017,0.02236
10/10/2017,0.020706
7/31/2017,0.022346
11/14/2017,0.02234
10/11/2017,0.021122
11/15/2017,0.022571
8/1/2017,0.022301
11/16/2017,0.022062
10/12/2017,0.021247
8/2/2017,0.021947
11/17/2017,0.021893
8/3/2017,0.022044
11/20/2017,0.021725
8/4/2017,0.022162
11/21/2017,0.021339
8/7/2017,0.022377
11/22/2017,0.021684
8/8/2017,0.022628
11/23/2017,0.021777
8/9/2017,0.022576
11/24/2017,0.021646
8/10/2017,0.022372
11/27/2017,0.021472
8/11/2017,0.022146
11/28/2017,0.02164
8/14/2017,0.021994
11/29/2017,0.021152
8/15/2017,0.022529
11/30/2017,0.021256
8/16/2017,0.021945
12/1/2017,0.021587
8/17/2017,0.021911
12/4/2017,0.021517
8/18/2017,0.021918
